TRANSACTION_ID,SITE_ID,PRODUCT_KEY,TRANSACTION_DATE,GRAIN,TOTAL_PRICE
TRX-620295,SI002,4,20240610,31,278690.0
TRX-392219,SI002,13,20240630,90,67410.0
TRX-760840,SI007,7,20240803,11,1133.0
TRX-691402,SI008,7,20240405,4,412.0
TRX-325101,SI003,9,20240429,9,205110.0
TRX-833462,SI010,2,20240106,35,839650.0
TRX-322418,SI009,11,20231207,16,383840.0
TRX-235641,SI003,3,20240123,27,593730.0
TRX-623816,SI010,15,20241112,1,349.0
TRX-703099,SI005,5,20240730,66,1085700.0
TRX-381818,SI002,11,20240404,86,2063140.0
TRX-442255,SI004,16,20240326,93,25063.5
TRX-485532,SI005,7,20240315,72,7416.0
TRX-768582,SI001,7,20241102,98,10094.0
TRX-753000,SI006,12,20240422,70,419300.0
TRX-829511,SI001,7,20241117,82,8446.0
TRX-283405,SI002,3,20240619,55,1209450.0
TRX-614481,SI004,17,20240208,92,799480.0
TRX-289472,SI007,10,20240620,41,127100.0
TRX-238128,SI010,3,20241101,39,857610.0
TRX-448981,SI002,4,20240712,34,305660.0
TRX-855083,SI005,8,20241029,88,791120.0
TRX-624806,SI010,8,20240525,83,746170.0
TRX-458894,SI005,3,20240624,28,615720.0
TRX-828721,SI007,7,20231231,49,5047.0
TRX-884106,SI002,11,20240910,7,167930.0
TRX-243226,SI010,10,20240424,73,226300.0
TRX-697172,SI010,10,20240509,83,257300.0
TRX-761508,SI009,2,20240714,69,1655310.0
TRX-232912,SI010,13,20240411,39,29211.0
TRX-443956,SI004,8,20240308,31,278690.0
TRX-606565,SI008,7,20240609,69,7107.0
TRX-856016,SI002,13,20240903,32,23968.0
TRX-202470,SI002,16,20240115,57,15361.5
TRX-323017,SI008,11,20240531,62,1487380.0
TRX-950402,SI007,14,20231201,59,731010.0
TRX-453924,SI007,11,20240911,39,935610.0
TRX-167792,SI009,14,20231221,75,929250.0
TRX-179288,SI005,7,20240801,8,824.0
TRX-867716,SI001,1,20240826,17,1819.0
TRX-633442,SI003,17,20240315,25,217250.0
TRX-808721,SI005,3,20241104,29,637710.0
TRX-366057,SI003,9,20240810,50,1139500.0
TRX-821665,SI001,9,20240624,93,2119470.0
TRX-528927,SI001,12,20231128,57,341430.0
TRX-503417,SI007,13,20240908,35,26215.0
TRX-980875,SI007,10,20231201,45,139500.0
TRX-415046,SI007,17,20240220,76,660440.0
TRX-309545,SI003,1,20231229,85,9095.0
TRX-366224,SI003,17,20240917,25,217250.0
TRX-679248,SI005,3,20231231,87,1913130.0
TRX-989926,SI008,5,20240811,86,1414700.0
TRX-214667,SI001,5,20240109,1,16450.0
TRX-115294,SI009,3,20240116,29,637710.0
TRX-259502,SI002,7,20240224,82,8446.0
TRX-348788,SI004,7,20240317,34,3502.0
TRX-570994,SI001,1,20240722,75,8025.0
TRX-378756,SI009,12,20240407,45,269550.0
TRX-913030,SI002,11,20231207,94,2255060.0
TRX-779645,SI007,13,20240517,10,7490.0
TRX-480783,SI002,16,20240107,71,19134.5
TRX-345751,SI005,5,20240727,57,937650.0
TRX-639771,SI007,11,20241011,82,1967180.0
TRX-600803,SI002,7,20240815,19,1957.0
TRX-213162,SI002,17,20241014,20,173800.0
TRX-992697,SI010,15,20240303,25,8725.0
TRX-507677,SI004,3,20240702,41,901590.0
TRX-552903,SI004,6,20240324,28,502600.0
TRX-109133,SI007,14,20240627,32,396480.0
TRX-604230,SI001,5,20240925,26,427700.0
TRX-425170,SI008,16,20240328,72,19404.0
TRX-738133,SI007,17,20231221,76,660440.0
TRX-246860,SI006,1,20241022,12,1284.0
TRX-903765,SI003,7,20241102,54,5562.0
TRX-370138,SI007,10,20240921,38,117800.0
TRX-122056,SI007,6,20240317,47,843650.0
TRX-635507,SI003,16,20240827,8,2156.0
TRX-243170,SI002,5,20240629,67,1102150.0
TRX-754434,SI005,10,20241101,32,99200.0
TRX-435496,SI005,7,20241009,40,4120.0
TRX-856833,SI003,15,20231209,51,17799.0
TRX-661612,SI002,6,20240924,25,448750.0
TRX-341981,SI006,13,20240207,46,34454.0
TRX-408601,SI003,3,20240218,69,1517310.0
TRX-926283,SI006,10,20240111,63,195300.0
TRX-241628,SI008,10,20240710,84,260400.0
TRX-139191,SI003,5,20240203,64,1052800.0
TRX-844434,SI009,17,20240609,35,304150.0
TRX-218323,SI002,12,20240210,56,335440.0
TRX-320171,SI002,8,20240620,35,314650.0
TRX-281548,SI007,9,20240116,21,478590.0
TRX-327826,SI005,4,20241024,57,512430.0
TRX-326554,SI009,10,20240310,3,9300.0
TRX-759979,SI006,5,20240226,23,378350.0
TRX-296247,SI006,12,20240410,13,77870.0
TRX-486594,SI007,3,20240104,35,769650.0
TRX-521447,SI008,2,20240804,73,1751270.0
TRX-549411,SI008,14,20231229,54,669060.0
TRX-136171,SI008,7,20241026,94,9682.0
TRX-596666,SI005,6,20231208,49,879550.0
TRX-964323,SI008,15,20240626,79,27571.0
TRX-545793,SI005,7,20240505,14,1442.0
TRX-825496,SI004,3,20240323,9,197910.0
TRX-166887,SI004,1,20240504,48,5136.0
TRX-884869,SI006,14,20231210,25,309750.0
TRX-794338,SI010,11,20240414,66,1583340.0
TRX-864251,SI001,10,20240520,36,111600.0
TRX-357000,SI001,7,20240319,95,9785.0
TRX-441570,SI001,11,20240929,55,1319450.0
TRX-147312,SI005,4,20240723,93,836070.0
TRX-969419,SI001,13,20231125,80,59920.0
TRX-656672,SI009,9,20240703,10,227900.0
TRX-797051,SI001,16,20240130,90,24255.0
TRX-897416,SI008,8,20240121,24,215760.0
TRX-625384,SI002,3,20240624,21,461790.0
TRX-830516,SI006,8,20240720,17,152830.0
TRX-663809,SI003,3,20240601,2,43980.0
TRX-398846,SI004,7,20240310,69,7107.0
TRX-402495,SI007,6,20240501,98,1759100.0
TRX-562710,SI008,5,20240429,79,1299550.0
TRX-828280,SI010,4,20240929,16,143840.0
TRX-448267,SI001,15,20241114,92,32108.0
TRX-500126,SI002,2,20241116,28,671720.0
TRX-537024,SI002,17,20241002,35,304150.0
TRX-914932,SI010,10,20240501,57,176700.0
TRX-504185,SI009,8,20240417,100,899000.0
TRX-920195,SI007,7,20231215,64,6592.0
TRX-676057,SI008,2,20240512,91,2183090.0
TRX-955447,SI010,14,20241015,3,37170.0
TRX-680165,SI007,14,20240605,84,1040760.0
TRX-458056,SI010,3,20240529,35,769650.0
TRX-919800,SI004,15,20231231,89,31061.0
TRX-955214,SI008,2,20240712,62,1487380.0
TRX-133566,SI001,12,20240703,43,257570.0
TRX-987718,SI010,12,20240705,1,5990.0
TRX-105897,SI002,4,20240727,67,602330.0
TRX-484649,SI010,11,20240415,95,2279050.0
TRX-133642,SI007,5,20240201,63,1036350.0
TRX-569971,SI008,12,20240919,87,521130.0
TRX-638117,SI001,3,20240901,94,2067060.0
TRX-856599,SI004,2,20240310,92,2207080.0
TRX-719566,SI001,4,20240323,91,818090.0
TRX-486530,SI008,4,20241008,88,791120.0
TRX-615599,SI004,6,20240122,90,1615500.0
TRX-446593,SI006,2,20241004,43,1031570.0
TRX-157079,SI005,10,20240814,33,102300.0
TRX-910149,SI009,16,20240308,77,20751.5
TRX-912029,SI002,7,20241103,41,4223.0
TRX-232677,SI003,2,20240522,71,1703290.0
TRX-470688,SI001,7,20240722,68,7004.0
TRX-724907,SI005,4,20240912,92,827080.0
TRX-421257,SI009,4,20240618,31,278690.0
TRX-568904,SI007,12,20241016,7,41930.0
TRX-265443,SI006,11,20241121,50,1199500.0
TRX-584523,SI004,17,20241115,82,712580.0
TRX-968381,SI007,12,20231125,90,539100.0
TRX-611238,SI010,4,20240121,41,368590.0
TRX-864191,SI004,13,20240427,47,35203.0
TRX-515369,SI005,9,20240703,40,911600.0
TRX-926951,SI006,14,20241113,35,433650.0
TRX-355411,SI005,5,20240312,14,230300.0
TRX-666390,SI008,16,20241101,92,24794.0
TRX-417188,SI002,1,20240409,86,9202.0
TRX-563793,SI008,12,20240430,38,227620.0
TRX-587550,SI005,2,20240415,25,599750.0
TRX-441986,SI009,10,20240104,25,77500.0
TRX-848325,SI001,15,20240122,75,26175.0
TRX-525594,SI010,14,20231227,51,631890.0
TRX-681539,SI002,10,20240804,60,186000.0
TRX-304319,SI001,5,20241101,34,559300.0
TRX-461374,SI002,11,20241110,37,887630.0
TRX-556504,SI001,13,20240224,84,62916.0
TRX-267035,SI009,1,20240503,28,2996.0
TRX-593360,SI002,2,20240908,83,1991170.0
TRX-819713,SI009,4,20241013,95,854050.0
TRX-665395,SI001,15,20241020,48,16752.0
TRX-561391,SI005,9,20241102,64,1458560.0
TRX-871790,SI005,13,20240515,96,71904.0
TRX-870801,SI001,17,20240929,81,703890.0
TRX-939229,SI004,6,20240212,14,251300.0
TRX-819851,SI007,5,20240602,88,1447600.0
TRX-832678,SI003,15,20241027,7,2443.0
TRX-173452,SI005,3,20231204,33,725670.0
TRX-222211,SI007,10,20240129,43,133300.0
TRX-611485,SI005,15,20231216,46,16054.0
TRX-901790,SI007,10,20241101,92,285200.0
TRX-910889,SI005,16,20240213,77,20751.5
TRX-876340,SI010,9,20240102,12,273480.0
TRX-112664,SI010,8,20240721,30,269700.0
TRX-165171,SI007,2,20240317,67,1607330.0
TRX-104400,SI010,9,20240528,1,22790.0
TRX-601396,SI003,4,20240112,84,755160.0
TRX-711829,SI010,3,20240828,66,1451340.0
TRX-784406,SI007,2,20240801,44,1055560.0
TRX-543314,SI001,6,20231225,37,664150.0
TRX-804879,SI005,17,20240512,93,808170.0
TRX-797516,SI004,15,20240722,14,4886.0
TRX-606778,SI004,15,20240301,24,8376.0
TRX-478038,SI006,10,20240429,65,201500.0
TRX-419555,SI007,3,20240602,59,1297410.0
TRX-423424,SI008,15,20231224,29,10121.0
TRX-617873,SI003,5,20240520,63,1036350.0
TRX-237240,SI005,4,20240112,34,305660.0
TRX-550213,SI006,9,20231222,53,1207870.0
TRX-738963,SI002,17,20240711,46,399740.0
TRX-719414,SI006,3,20231126,50,1099500.0
TRX-407870,SI008,17,20240909,59,512710.0
TRX-388563,SI002,16,20240727,60,16170.0
TRX-159186,SI002,10,20240804,13,40300.0
TRX-552737,SI010,11,20240822,37,887630.0
TRX-536862,SI002,12,20240308,32,191680.0
TRX-846374,SI002,8,20240326,50,449500.0
TRX-161963,SI004,5,20240524,21,345450.0
TRX-208893,SI004,9,20240202,7,159530.0
TRX-715921,SI009,10,20240220,19,58900.0
TRX-942758,SI006,9,20241105,6,136740.0
TRX-781108,SI002,13,20240129,88,65912.0
TRX-900656,SI007,14,20240606,43,532770.0
TRX-931329,SI008,6,20240802,87,1561650.0
TRX-719147,SI002,14,20240428,91,1127490.0
TRX-238637,SI003,1,20240720,29,3103.0
TRX-848330,SI008,7,20240406,31,3193.0
TRX-719371,SI008,1,20241107,70,7490.0
TRX-611605,SI006,3,20231212,20,439800.0
TRX-892453,SI007,2,20241107,93,2231070.0
TRX-680314,SI005,13,20240530,42,31458.0
TRX-176144,SI007,2,20240923,2,47980.0
TRX-659826,SI008,10,20240213,38,117800.0
TRX-643238,SI010,10,20240927,18,55800.0
TRX-339987,SI005,13,20240515,74,55426.0
TRX-357115,SI004,3,20240201,63,1385370.0
TRX-926393,SI010,2,20240703,11,263890.0
TRX-555081,SI002,6,20240522,97,1741150.0
TRX-916851,SI001,12,20231226,33,197670.0
TRX-482843,SI002,3,20240528,54,1187460.0
TRX-359842,SI003,5,20241008,54,888300.0
TRX-811564,SI004,7,20240104,90,9270.0
TRX-783623,SI009,17,20231130,42,364980.0
TRX-873948,SI002,3,20241113,31,681690.0
TRX-232650,SI008,8,20240921,80,719200.0
TRX-194396,SI008,16,20231227,4,1078.0
TRX-800746,SI002,17,20240912,81,703890.0
TRX-438704,SI010,3,20241122,46,1011540.0
TRX-230141,SI001,11,20240328,32,767680.0
TRX-900828,SI007,12,20240715,22,131780.0
TRX-139804,SI006,1,20240222,33,3531.0
TRX-911889,SI009,10,20240104,32,99200.0
TRX-763519,SI009,15,20240624,4,1396.0
TRX-443460,SI010,12,20241121,93,557070.0
TRX-293303,SI001,16,20240702,59,15900.5
TRX-691681,SI009,5,20241029,92,1513400.0
TRX-674516,SI004,9,20241016,16,364640.0
TRX-145938,SI007,7,20240211,26,2678.0
TRX-269632,SI008,10,20240210,13,40300.0
TRX-550965,SI007,3,20240406,30,659700.0
TRX-639793,SI008,8,20240408,85,764150.0
TRX-351475,SI006,11,20240807,34,815660.0
TRX-506317,SI009,2,20231226,68,1631320.0
TRX-623771,SI010,2,20240729,34,815660.0
TRX-110816,SI004,13,20240311,65,48685.0
TRX-238945,SI007,15,20240203,46,16054.0
TRX-478510,SI004,13,20231222,18,13482.0
TRX-266838,SI001,9,20240321,78,1777620.0
TRX-830613,SI002,1,20240823,69,7383.0
TRX-520244,SI008,8,20240926,34,305660.0
TRX-204640,SI007,17,20240910,91,790790.0
TRX-321445,SI009,3,20240211,90,1979100.0
TRX-995968,SI003,7,20240221,16,1648.0
TRX-390265,SI001,3,20241031,85,1869150.0
TRX-704032,SI002,15,20240722,58,20242.0
TRX-763214,SI003,16,20231230,14,3773.0
TRX-903392,SI001,10,20240310,54,167400.0
TRX-164872,SI004,13,20240914,29,21721.0
TRX-588348,SI004,1,20240722,49,5243.0
TRX-485433,SI004,15,20240417,29,10121.0
TRX-372622,SI008,5,20240619,78,1283100.0
TRX-865466,SI010,14,20240923,71,879690.0
TRX-909743,SI008,4,20231129,58,521420.0
TRX-893186,SI006,3,20231226,93,2045070.0
TRX-944342,SI010,3,20240905,67,1473330.0
TRX-879956,SI009,7,20240331,69,7107.0
TRX-537738,SI007,1,20240115,99,10593.0
TRX-446688,SI001,1,20241121,86,9202.0
TRX-591004,SI007,14,20240327,72,892080.0
TRX-515734,SI006,7,20240324,63,6489.0
TRX-123777,SI006,14,20231215,34,421260.0
TRX-454344,SI002,9,20231222,91,2073890.0
TRX-444735,SI004,12,20241108,64,383360.0
TRX-200755,SI001,9,20240827,78,1777620.0
TRX-333803,SI003,4,20240518,56,503440.0
TRX-867038,SI002,12,20240411,59,353410.0
TRX-732642,SI010,8,20240527,95,854050.0
TRX-403654,SI001,11,20241107,4,95960.0
TRX-399897,SI009,4,20240109,44,395560.0
TRX-413548,SI003,13,20241121,78,58422.0
TRX-517457,SI008,11,20240828,21,503790.0
TRX-332155,SI004,3,20240509,13,285870.0
TRX-545370,SI002,6,20240506,81,1453950.0
TRX-957206,SI009,15,20240414,47,16403.0
TRX-544360,SI009,7,20240906,26,2678.0
TRX-872343,SI010,2,20240328,81,1943190.0
TRX-787597,SI005,15,20240205,42,14658.0
TRX-814566,SI009,8,20240802,77,692230.0
TRX-795192,SI009,8,20240923,69,620310.0
TRX-525645,SI001,13,20240714,41,30709.0
TRX-847276,SI003,17,20240327,64,556160.0
TRX-370582,SI006,7,20240309,48,4944.0
TRX-973303,SI007,9,20240110,24,546960.0
TRX-191558,SI007,6,20240106,73,1310350.0
TRX-379989,SI009,13,20241115,43,32207.0
TRX-635748,SI003,4,20240225,89,800110.0
TRX-748246,SI002,2,20240809,98,2351020.0
TRX-465685,SI009,11,20241022,12,287880.0
TRX-196209,SI006,5,20240507,1,16450.0
TRX-691997,SI001,5,20240918,65,1069250.0
TRX-302853,SI009,12,20240125,12,71880.0
TRX-839252,SI009,6,20240219,5,89750.0
TRX-520092,SI008,7,20241102,73,7519.0
TRX-240317,SI003,7,20240911,33,3399.0
TRX-615788,SI009,1,20241029,17,1819.0
TRX-501309,SI008,1,20240704,58,6206.0
TRX-441999,SI010,6,20240813,44,789800.0
TRX-805800,SI005,9,20241031,31,706490.0
TRX-676694,SI005,11,20240405,97,2327030.0
TRX-799059,SI002,16,20240807,81,21829.5
TRX-926457,SI006,14,20240810,35,433650.0
TRX-679225,SI003,7,20240519,64,6592.0
TRX-832109,SI008,15,20240515,27,9423.0
TRX-735209,SI003,10,20240328,66,204600.0
TRX-714076,SI006,3,20240831,1,21990.0
TRX-154555,SI005,9,20240926,21,478590.0
TRX-178967,SI005,11,20240112,40,959600.0
TRX-668086,SI003,5,20240901,44,723800.0
TRX-761970,SI006,10,20231128,47,145700.0
TRX-866910,SI009,17,20240302,99,860310.0
TRX-524555,SI009,11,20241001,54,1295460.0
TRX-270178,SI001,16,20240516,10,2695.0
TRX-593483,SI005,12,20240615,87,521130.0
TRX-742562,SI008,8,20241017,90,809100.0
TRX-873610,SI006,5,20241120,5,82250.0
TRX-597614,SI010,4,20240923,63,566370.0
TRX-355903,SI008,5,20240813,2,32900.0
TRX-559718,SI001,11,20240831,13,311870.0
TRX-923271,SI002,3,20241108,48,1055520.0
TRX-667600,SI010,9,20240916,50,1139500.0
TRX-386153,SI002,5,20240420,62,1019900.0
TRX-153506,SI010,17,20240713,1,8690.0
TRX-825821,SI003,14,20240602,5,61950.0
TRX-476964,SI006,6,20241107,96,1723200.0
TRX-882040,SI003,9,20240217,87,1982730.0
TRX-453567,SI010,16,20231203,14,3773.0
TRX-456618,SI002,9,20241021,20,455800.0
TRX-658907,SI010,6,20240729,67,1202650.0
TRX-744863,SI010,15,20240909,72,25128.0
TRX-887852,SI004,7,20240516,40,4120.0
TRX-217771,SI005,10,20240513,44,136400.0
TRX-943701,SI006,2,20241116,52,1247480.0
TRX-163643,SI001,9,20240616,35,797650.0
TRX-269188,SI007,1,20240515,40,4280.0
TRX-989846,SI010,6,20240426,34,610300.0
TRX-679074,SI006,14,20240111,34,421260.0
TRX-724099,SI006,13,20240223,66,49434.0
TRX-497760,SI003,4,20240608,100,899000.0
TRX-387244,SI005,17,20241113,27,234630.0
TRX-175160,SI008,2,20240421,21,503790.0
TRX-605382,SI001,17,20240829,93,808170.0
TRX-831506,SI007,3,20240105,79,1737210.0
TRX-522836,SI008,11,20231203,56,1343440.0
TRX-804919,SI010,13,20240601,8,5992.0
TRX-798871,SI007,5,20240417,95,1562750.0
TRX-997814,SI007,9,20240806,8,182320.0
TRX-604093,SI008,7,20241005,94,9682.0
TRX-464199,SI007,9,20240409,76,1732040.0
TRX-650769,SI010,17,20240808,62,538780.0
TRX-816398,SI001,2,20240706,24,575760.0
TRX-330728,SI004,8,20240603,50,449500.0
TRX-526270,SI005,5,20240119,51,838950.0
TRX-189094,SI005,17,20240722,29,252010.0
TRX-468073,SI004,4,20240319,62,557380.0
TRX-744790,SI003,7,20231127,42,4326.0
TRX-158550,SI010,16,20241002,48,12936.0
TRX-996481,SI008,13,20231204,51,38199.0
TRX-700075,SI009,11,20231227,72,1727280.0
TRX-788882,SI003,16,20241004,4,1078.0
TRX-652545,SI004,10,20240329,76,235600.0
TRX-382272,SI002,7,20240927,51,5253.0
TRX-551052,SI006,14,20240205,91,1127490.0
TRX-192206,SI004,7,20241111,89,9167.0
TRX-160276,SI002,13,20240120,48,35952.0
TRX-262313,SI006,15,20240424,9,3141.0
TRX-375232,SI010,9,20240729,69,1572510.0
TRX-603562,SI003,2,20240510,94,2255060.0
TRX-752941,SI007,2,20240815,27,647730.0
TRX-499332,SI006,7,20240804,94,9682.0
TRX-697902,SI008,15,20240328,63,21987.0
TRX-668694,SI001,11,20240103,34,815660.0
TRX-952319,SI007,17,20240826,89,773410.0
TRX-639132,SI008,14,20241006,98,1214220.0
TRX-635180,SI002,6,20241114,99,1777050.0
TRX-361097,SI001,11,20240428,3,71970.0
TRX-645033,SI003,7,20240520,18,1854.0
TRX-432163,SI008,14,20240323,85,1053150.0
TRX-420762,SI003,4,20241005,100,899000.0
TRX-637934,SI002,7,20240222,91,9373.0
TRX-954097,SI005,1,20241006,72,7704.0
TRX-909343,SI005,11,20240720,23,551770.0
TRX-540499,SI008,12,20240514,20,119800.0
TRX-724869,SI010,8,20240620,93,836070.0
TRX-185633,SI010,2,20240413,64,1535360.0
TRX-474343,SI004,10,20240716,20,62000.0
TRX-881356,SI009,11,20240421,84,2015160.0
TRX-189739,SI004,14,20240903,37,458430.0
TRX-327786,SI008,9,20240729,48,1093920.0
TRX-737533,SI006,15,20240828,94,32806.0
TRX-137473,SI006,13,20240103,44,32956.0
TRX-767753,SI003,16,20240914,24,6468.0
TRX-203425,SI003,16,20241024,46,12397.0
TRX-416649,SI002,10,20240205,41,127100.0
TRX-898933,SI006,15,20240102,25,8725.0
TRX-231454,SI004,12,20240319,85,509150.0
TRX-323621,SI005,6,20240518,63,1130850.0
TRX-998161,SI002,13,20240714,63,47187.0
TRX-450552,SI003,10,20240703,9,27900.0
TRX-176387,SI001,13,20240119,77,57673.0
TRX-447997,SI007,4,20240125,45,404550.0
TRX-817827,SI010,8,20240107,24,215760.0
TRX-403659,SI004,3,20231225,47,1033530.0
TRX-515541,SI003,12,20240623,84,503160.0
TRX-177026,SI010,9,20240604,28,638120.0
TRX-683172,SI001,1,20231218,31,3317.0
TRX-727665,SI004,6,20241120,10,179500.0
TRX-781327,SI008,13,20241005,56,41944.0
TRX-696135,SI002,9,20231221,50,1139500.0
TRX-428707,SI004,17,20240911,75,651750.0
TRX-280698,SI003,3,20240303,35,769650.0
TRX-379240,SI008,11,20240415,66,1583340.0
TRX-634844,SI009,1,20241121,7,749.0
TRX-369926,SI009,12,20240909,16,95840.0
TRX-144426,SI002,4,20240923,60,539400.0
TRX-332758,SI001,16,20231227,43,11588.5
TRX-940275,SI005,5,20240201,72,1184400.0
TRX-925517,SI003,5,20240104,15,246750.0
TRX-612212,SI006,13,20240611,20,14980.0
TRX-765552,SI003,12,20240715,16,95840.0
TRX-483563,SI003,13,20240311,5,3745.0
TRX-755957,SI004,17,20240531,18,156420.0
TRX-790968,SI001,4,20240215,56,503440.0
TRX-358728,SI010,10,20240514,89,275900.0
TRX-563056,SI008,5,20240312,50,822500.0
TRX-200102,SI006,10,20240404,76,235600.0
TRX-326522,SI003,5,20240927,4,65800.0
TRX-768932,SI008,8,20240725,9,80910.0
TRX-346338,SI002,16,20240705,57,15361.5
TRX-424454,SI009,7,20240516,27,2781.0
TRX-367141,SI001,1,20240119,9,963.0
TRX-595554,SI005,12,20240122,42,251580.0
TRX-717776,SI009,9,20240617,30,683700.0
TRX-504096,SI010,14,20240202,16,198240.0
TRX-836399,SI007,10,20240707,79,244900.0
TRX-212113,SI002,10,20240824,92,285200.0
TRX-107560,SI004,15,20240606,34,11866.0
TRX-853767,SI005,4,20240607,19,170810.0
TRX-844033,SI005,10,20240524,23,71300.0
TRX-544612,SI005,6,20241017,52,933400.0
TRX-516031,SI010,11,20240531,52,1247480.0
TRX-374067,SI003,5,20240912,56,921200.0
TRX-259172,SI001,13,20241029,9,6741.0
TRX-469828,SI008,9,20240724,9,205110.0
TRX-755248,SI006,9,20231229,37,843230.0
TRX-205277,SI008,12,20241115,50,299500.0
TRX-888874,SI006,5,20240418,58,954100.0
TRX-198612,SI005,7,20240820,59,6077.0
TRX-928368,SI008,12,20231228,90,539100.0
TRX-274652,SI008,16,20240116,82,22099.0
TRX-771864,SI002,10,20240423,47,145700.0
TRX-599661,SI010,7,20240317,75,7725.0
TRX-450051,SI006,3,20240512,5,109950.0
TRX-906838,SI005,13,20231231,77,57673.0
TRX-828578,SI004,5,20240326,34,559300.0
TRX-848748,SI008,11,20240924,81,1943190.0
TRX-195736,SI010,17,20231201,79,686510.0
TRX-736722,SI002,1,20231123,85,9095.0
TRX-732194,SI006,4,20240628,92,827080.0
TRX-486114,SI009,11,20240416,37,887630.0
TRX-678617,SI002,15,20240707,60,20940.0
TRX-192393,SI009,15,20240915,40,13960.0
TRX-499303,SI005,10,20240905,45,139500.0
TRX-320945,SI006,17,20241007,38,330220.0
TRX-360522,SI010,1,20231209,43,4601.0
TRX-492830,SI010,5,20240506,17,279650.0
TRX-107639,SI009,8,20240516,32,287680.0
TRX-920070,SI006,16,20240130,71,19134.5
TRX-263048,SI004,4,20241007,15,134850.0
TRX-726784,SI006,9,20240506,94,2142260.0
TRX-509074,SI005,6,20240217,27,484650.0
TRX-738212,SI001,6,20240304,60,1077000.0
TRX-880816,SI010,15,20240809,24,8376.0
TRX-522745,SI009,5,20240126,49,806050.0
TRX-172983,SI006,9,20241110,45,1025550.0
TRX-111058,SI003,8,20240219,55,494450.0
TRX-329783,SI010,11,20231201,4,95960.0
TRX-911262,SI009,17,20240414,20,173800.0
TRX-717254,SI004,6,20240206,52,933400.0
TRX-504044,SI003,7,20240829,86,8858.0
TRX-951681,SI003,9,20240201,19,433010.0
TRX-958587,SI005,3,20241015,11,241890.0
TRX-514040,SI007,9,20240429,49,1116710.0
TRX-161696,SI001,17,20240309,37,321530.0
TRX-335285,SI006,11,20240407,91,2183090.0
TRX-756945,SI004,5,20240831,24,394800.0
TRX-995636,SI003,13,20241030,82,61418.0
TRX-493435,SI007,3,20240814,48,1055520.0
TRX-454398,SI003,5,20240525,95,1562750.0
TRX-680898,SI005,13,20241018,59,44191.0
TRX-177257,SI008,12,20231227,100,599000.0
TRX-653643,SI006,17,20240411,7,60830.0
TRX-597784,SI004,16,20240128,19,5120.5
TRX-466850,SI003,10,20240727,43,133300.0
TRX-919616,SI005,1,20240720,60,6420.0
TRX-539088,SI007,11,20240413,42,1007580.0
TRX-845173,SI005,13,20240430,76,56924.0
TRX-150560,SI010,6,20240415,62,1112900.0
TRX-724876,SI002,13,20240321,86,64414.0
